Recording Date,weight (kg),set(s),rep(s)
5/23/2024 7:08 AM,20,4,8
4/30/2024 7:32 AM,20,4,8
4/22/2024 8:14 AM,20,4,8
3/12/2024 6:10 PM,20,4,8
3/6/2024 6:30 PM,10,4,8
2/29/2024 8:30 AM,10,4,8
2/28/2024 6:45 AM,1,4,8
2/17/2024 10:03 AM,1,4,8
2/15/2024 7:44 AM,1,4,8
2/13/2024 8:39 AM,1,4,8
1/31/2024 4:21 PM,1,4,8
1/30/2024 7:50 AM,1,4,8
1/25/2024 4:10 PM,1,4,8
1/23/2024 6:40 AM,1,4,8
1/22/2024 4:37 PM,1,4,8
1/20/2024 11:07 AM,1,4,8
1/17/2024 4:45 PM,1,4,8
1/12/2024 6:40 AM,1,4,8
