Recording Date,set(s)
5/25/2023 9:00 AM,3
5/22/2023 9:40 AM,2
5/11/2023 9:10 AM,6
5/8/2023 10:15 AM,5
5/4/2023 9:00 AM,5
4/27/2023 9:40 AM,4
4/24/2023 9:45 AM,2
4/20/2023 9:50 AM,4
4/13/2023 8:50 AM,4
3/27/2023 9:40 AM,3
3/23/2023 8:30 AM,3
3/20/2023 9:45 AM,3
3/15/2023 9:00 AM,3
