Recording Date,set(s),duration (s)
4/5/2024 5:48 PM,1,120
3/28/2024 9:35 AM,1,120
1/26/2024 7:55 PM,1,90
1/23/2024 7:30 AM,1,90
1/21/2024 7:15 PM,1,90
1/8/2024 9:15 PM,1,90
1/2/2024 4:23 PM,1,90
12/24/2023 10:40 AM,1,90
12/14/2023 3:55 PM,1,60
12/12/2023 6:15 AM,1,60
