Recording Date,weight (kg),set(s),duration (s)
12/4/2022 12:30 PM,90,4,30
11/20/2022 8:45 PM,70,4,30
11/14/2022 6:17 AM,90,4,30
11/13/2022 11:11 AM,90,4,30
11/10/2022 6:46 AM,80,4,30
11/09/2022 3:30 PM,75,2,30
