Recording Date,set(s),reps(s)
3/20/2023 9:30 AM,2,5
3/9/2023 10:00 AM,3,5
3/6/2023 10:00 AM,2,5
3/2/2023 9:30 AM,2,5
2/27/2023 10:00 AM,2,5
2/23/2023 10:00 AM,2,5
2/16/2023 9:30 AM,3,5
2/13/2023 10:00 AM,2,4
2/9/2023 10:30 AM,2,4
