Recording Date,weight (kg),set(s),duration (s)
11/20/2022 8:44 PM,170,4,30
11/10/2022 7:06 AM,170,4,30
11/13/2022 11:57 AM,170,4,30
11/14/2022 6:38 AM,170,4,30
